0.147	-2.6975e-11	0.147	5.7499999999999995e-12
0.315	-3.248125e-11	0.315	3.25e-12
0.48299999999999993	-2.5325e-11	0.483	1.045e-11
0.651	-2.3762500000000003e-11	0.651	1.32e-11
0.882	-2.115405405405406e-11	0.756	2.900000000000001e-12
1.218	-1.4221621621621625e-11	0.756	2.825e-11
1.553997297297297	-1.4594594594594563e-12	0.756	1.68e-11
1.8899972972972974	1.8756756756756748e-12	0.756	1.78e-11
2.225997297297297	9.194594594594595e-12	0.7560000000000001	1.405e-11
2.5619972972972973	1.4759459459459456e-11	0.756	1.3150000000000001e-11
2.897997297297297	1.9051351351351353e-11	0.7560499999999999	9.95e-12
3.234	2.183243243243243e-11	0.756	1.3900000000000002e-11
3.5700000000000003	2.8948648648648646e-11	0.7559999999999998	7.999999999999998e-13
3.9059999999999997	3.354594594594595e-11	0.756	2.6799999999999997e-11
4.241999999999999	4.31054054054054e-11	0.756	3.545e-11
4.578	5.00945945945946e-11	0.7559999999999998	2.0150000000000003e-11
4.913997297297298	5.853513513513515e-11	0.7559999999999998	1.505e-11
5.249997297297296	6.842162162162164e-11	0.7560000000000002	1.785e-11
5.5859972972972995	7.462972972972974e-11	0.7559999999999998	1.1599999999999997e-11
5.9219945945945955	8.042972972972973e-11	0.7559999999999998	1.475e-11
6.257994594594594	8.715405405405405e-11	0.7560000000000002	1.5099999999999998e-11
6.593997297297298	9.037297297297296e-11	0.7559999999999998	1.1899999999999999e-11
6.929997297297297	9.504594594594593e-11	0.7559999999999998	2.95e-12
7.266000000000001	1.2367027027027026e-10	0.7560000000000002	5.295e-11
7.602	1.292189189189189e-10	0.7560000000000002	1.0900000000000002e-11
7.937997297297295	1.3540270270270274e-10	0.7560000000000002	1.5600000000000003e-11
8.273994594594596	1.437945945945946e-10	0.7559499999999999	1.1949999999999995e-11
8.609994594594593	1.5364594594594592e-10	0.7559999999999998	2.6e-11
8.945994594594598	1.4162432432432432e-10	0.7560000000000002	2.8449999999999996e-11
9.281997297297295	1.5527297297297304e-10	0.7560000000000002	3.150000000000001e-11
9.617997297297297	1.7137027027027034e-10	0.7560000000000002	3.89e-11
9.954	1.9135675675675677e-10	0.7560000000000002	4.959999999999999e-11
10.289999999999997	2.1217567567567564e-10	0.7559999999999993	4.319999999999999e-11
10.626000000000001	2.2857297297297298e-10	0.7560000000000002	3.155000000000001e-11
10.961999999999998	2.546756756756757e-10	0.7560000000000002	3.904e-10
11.298000000000002	2.560864864864865e-10	0.7560000000000002	1.2799999999999984e-11
11.633997297297297	2.4671891891891893e-10	0.7560000000000002	3.0399999999999993e-11
11.969994594594594	2.365216216216216e-10	0.7560000000000002	2.4650000000000013e-11
12.305994594594598	2.5038648648648653e-10	0.7559999999999993	4.0000000000000637e-13
12.641994594594594	2.3006486486486491e-10	0.7560000000000002	1.2950000000000004e-11
12.977997297297298	2.370432432432433e-10	0.7560000000000002	2.4049999999999997e-11
13.313994594594595	2.4987027027027025e-10	0.7560000000000002	3.4199999999999996e-11
13.649994594594597	2.668027027027027e-10	0.7560000000000002	3.5200000000000005e-11
13.985994594594596	2.8287567567567574e-10	0.7560000000000002	5.63e-11
14.321994594594589	3.100459459459459e-10	0.7559999999999993	6.729999999999999e-11
14.657997297297298	3.424945945945947e-10	0.7560500000000001	7.840000000000001e-11
14.993999999999998	3.767162162162164e-10	0.7560000000000002	7.435000000000001e-11
15.330000000000002	4.043621621621621e-10	0.7559999999999993	5.709999999999999e-11
15.666000000000002	4.053459459459459e-10	0.7560000000000002	1.3699999999999989e-11
16.0019972972973	4.023378378378378e-10	0.7559999999999993	2.6749999999999985e-11
16.3379972972973	3.8454054054054053e-10	0.7560000000000002	5.865e-11
16.673997297297298	3.591162162162162e-10	0.7560000000000002	5.330000000000001e-11
17.009997297297296	3.4216486486486474e-10	0.7559999999999985	1.5100000000000005e-11
17.345999999999997	3.6860810810810806e-10	0.7560000000000002	3.8930000000000004e-10
17.681997297297293	3.7990540540540544e-10	0.7560000000000002	4.000000000000012e-12
18.0179972972973	3.8966486486486494e-10	0.7560000000000002	3.475000000000001e-11
18.353994594594596	4.0917297297297303e-10	0.7560000000000002	5.080000000000002e-11
18.689994594594598	4.1547567567567567e-10	0.7560000000000002	5.1749999999999976e-11
19.025994594594593	4.119810810810811e-10	0.7560000000000002	8.714999999999998e-11
19.361994594594595	4.55045945945946e-10	0.7559999999999985	1.0395000000000001e-10
19.697997297297295	5.008351351351353e-10	0.7560000000000002	1.0635000000000003e-10
20.033994594594596	5.453027027027026e-10	0.7560000000000002	9.250000000000002e-11
20.369994594594594	5.784108108108109e-10	0.7560000000000002	5.175e-11
20.705994594594596	5.924513513513515e-10	0.7560500000000001	5.499999999999619e-13
21.041994594594595	5.792027027027028e-10	0.7559999999999985	6.074999999999997e-11
21.377994594594597	5.470324324324324e-10	0.7560000000000002	8.319999999999998e-11
21.7139972972973	5.094810810810813e-10	0.7560000000000002	8.339999999999999e-11
22.049997297297296	4.755756756756757e-10	0.7560000000000002	6.8e-11
22.386000000000003	4.55227027027027e-10	0.7560000000000002	2.619999999999997e-11
22.721999999999998	4.526324324324324e-10	0.7560000000000002	9.600000000000024e-12
23.057997297297298	4.6091081081081087e-10	0.7560000000000002	3.3250000000000014e-11
23.393997297297293	4.819756756756756e-10	0.7559999999999985	6.219999999999998e-11
23.7299972972973	5.128702702702702e-10	0.7560000000000002	8.995000000000001e-11
24.065997297297294	5.546108108108108e-10	0.7560000000000002	1.0515000000000002e-10
